example_check1.png, T011300142T 12345678U 0101
example_check10.jpg, T00 U287877U 14D14015T 0156999879U 02
example_check11.jpg, T01500U 695015004T 10
example_check12.jpg, T24000 695240002T 045504 31
example_check13.png, T1500 695015004T 10
example_check14.jpg, U015004U 695015004T 10
example_check15.jpg, D2400 411240008T 002400U 29
example_check16.jpg, T0020 695002032T 002860 31
example_check17.png, T011234567T 001234567U
example_check18.jpg, U115873U 400240010T 000754U 31
example_check19.jpg, T0124520 T0612788TU3299985343
example_check2.jpg, T000000386T 000000529U 1000
example_check20.jpg, 41AT02290U0001 
example_check3.jpg, T7389391T 87938833A 8181U
example_check4.JPG, T01001 T000067894T 12345678U
example_check5.jpg, T4 1977335878978U U7233587897U U3
example_check6.jpg, U717610U 004D005T 751805D001U
example_check7.jpg, U02219T20T07T 001T51T
example_check8.jpg, 47UDU44T T0020 20DD 0A 
example_check9.jpg, U259581U 400229002T 073986U 29
sample_1 (1).jpeg, U24353U 600028013T 10
sample_1 (1).jpg, U980569U 35D12054T 1205000000U 02
sample_1 (1).png, U56U 260T 00U 
sample_1 (10).jpg, T000045678000 00000 U0000
sample_1 (11).jpg, T789325456T 325789456325U 0025
sample_1 (12).jpg, U952400U 695240002T 045504U 31
sample_1 (13).jpg, T5236 282015052T 31
sample_1 (14).jpg, U000000 695234002T 000120U 31
sample_1 (15).jpg, U000000 695234002T 000120U 31
sample_1 (16).jpg, U950530U 695053002T 10
sample_1 (17).jpg, U0000309381U010044897T003763010529U
sample_1 (18).jpg, U64 T66TD 64D9
sample_1 (19).jpg, U502A 695002017T 010851U 10
sample_1 (2).jpg, U000001U000000T0123456789U00
sample_1 (2).png, T66U TD10TD194
sample_1 (20).jpg, U950020U 695002032T 002860U 31
sample_1 (21).jpg, U000000U 1100250D 10
sample_1 (22).jpg, 118T009950220118032012D3032012
sample_1 (3).jpg, U00003889U 057080099T 1030003807U 04
sample_1 (3).png, U56U 200T 00U 
sample_1 (4).jpg, U184U T00502D010T 70D5555
sample_1 (4).png, U3429251U 090261725T 1161100008715U 11
sample_1 (5).jpg, T00000T50D020 
sample_1 (5).png, T0020 695002032T 002860 31
sample_1 (6).jpg, 3U T0001D0005T 028990265U169082
sample_1 (6).png, U000031U 20D9993T 12345678U 10
sample_1 (7).jpg, 8U T0001D0005T 028990331U0007950
sample_1 (8).jpg, T01500U 695015004T 10
sample_1 (9).jpg, T00990496U 35D14142T 8007684182U 24
